"","make","year","transtype","youSaveSpend"
"667","Nissan",2007,"Automatic",-94250
"668","Nissan",2007,"Manual",-22250
"669","Nissan",2008,"Automatic",-104250
"670","Nissan",2008,"Manual",-23750
"671","Nissan",2009,"Automatic",-122250
"672","Nissan",2009,"Manual",-21000
"673","Nissan",2010,"Automatic",-96250
"674","Nissan",2010,"Manual",-19000
"675","Nissan",2011,"Automatic",-86000
"676","Nissan",2011,"Manual",-15000
"677","Nissan",2012,"Automatic",-85750
"678","Nissan",2012,"Manual",-14750
"679","Nissan",2013,"Automatic",-60000
"680","Nissan",2013,"Manual",-11500
"681","Nissan",2014,"Automatic",-57250
"682","Nissan",2014,"Manual",-11500
"683","Nissan",2015,"Automatic",-51250
"684","Nissan",2015,"Manual",-11750
"685","Pontiac",2004,"Automatic",-30000
"686","Pontiac",2004,"Manual",-1250
"687","Pontiac",2005,"Automatic",-35000
"688","Pontiac",2005,"Manual",-1250
"689","Pontiac",2006,"Automatic",-39750
"690","Pontiac",2006,"Manual",-8000
"691","Pontiac",2007,"Automatic",-27500
"692","Pontiac",2007,"Manual",-5750
"693","Pontiac",2008,"Automatic",-31500
"694","Pontiac",2008,"Manual",-1000
"695","Pontiac",2009,"Automatic",-23000
"696","Pontiac",2009,"Manual",1000
"697","Pontiac",2010,"Automatic",-2000
"698","Pontiac",2010,"Manual",8250
"699","Porsche",2004,"Automatic",-84750
"700","Porsche",2004,"Manual",-104500
"701","Porsche",2005,"Automatic",-136000
"702","Porsche",2005,"Manual",-140500
"703","Porsche",2006,"Automatic",-63500
"704","Porsche",2006,"Manual",-49250
"705","Porsche",2007,"Automatic",-71250
"706","Porsche",2007,"Manual",-71750
"707","Porsche",2008,"Automatic",-82750
"708","Porsche",2008,"Manual",-82250
"709","Porsche",2009,"Automatic",-74500
"710","Porsche",2009,"Manual",-63500
"711","Porsche",2010,"Automatic",-100750
"712","Porsche",2010,"Manual",-79750
"713","Porsche",2011,"Automatic",-86750
"714","Porsche",2011,"Manual",-76250
"715","Porsche",2012,"Automatic",-106250
"716","Porsche",2012,"Manual",-70000
"717","Porsche",2013,"Automatic",-80750
"718","Porsche",2013,"Manual",-33250
"719","Porsche",2014,"Automatic",-103750
"720","Porsche",2014,"Manual",-33750
"721","Porsche",2015,"Automatic",-98750
"722","Porsche",2015,"Manual",-43500
"723","Ram",2012,"Automatic",-1750
"724","Ram",2013,"Automatic",-37750
"725","Ram",2014,"Automatic",-34750
"726","Ram",2015,"Automatic",-35250
"727","Rolls-Royce",2004,"Automatic",-9500
"728","Rolls-Royce",2005,"Automatic",-9500
"729","Rolls-Royce",2006,"Automatic",-9500
"730","Rolls-Royce",2007,"Automatic",-16500
"731","Rolls-Royce",2008,"Automatic",-24750
"732","Rolls-Royce",2009,"Automatic",-33000
"733","Rolls-Royce",2010,"Automatic",-40000
"734","Rolls-Royce",2011,"Automatic",-40000
"735","Rolls-Royce",2012,"Automatic",-47000
"736","Rolls-Royce",2013,"Automatic",-47000
"737","Rolls-Royce",2014,"Automatic",-54000
"738","Rolls-Royce",2015,"Automatic",-54000
"739","Roush Performance",2004,"Manual",-4500
"740","Roush Performance",2006,"Automatic",-77000
"741","Roush Performance",2006,"Manual",-6000
"742","Roush Performance",2007,"Automatic",-66000
"743","Roush Performance",2007,"Manual",-11250
"744","Roush Performance",2008,"Automatic",-63000
"745","Roush Performance",2008,"Manual",-5250
"746","Roush Performance",2009,"Automatic",-6000
"747","Roush Performance",2009,"Manual",-5250
"748","Roush Performance",2010,"Automatic",-5250
"749","Roush Performance",2010,"Manual",-4500
"750","Roush Performance",2011,"Manual",-6000
"751","Roush Performance",2012,"Automatic",-4500
"752","Roush Performance",2012,"Manual",-6000
"753","Roush Performance",2013,"Automatic",-4500
"754","Roush Performance",2013,"Manual",-5250
"755","Roush Performance",2014,"Automatic",-62500
"756","Roush Performance",2014,"Manual",-5250
"757","Saab",2004,"Automatic",-18250
"758","Saab",2004,"Manual",-16750
"759","Saab",2005,"Automatic",-26750
"760","Saab",2005,"Manual",-13500
"761","Saab",2006,"Automatic",-37000
"762","Saab",2006,"Manual",-24500
"763","Saab",2007,"Automatic",-31000
"764","Saab",2007,"Manual",-18250
"765","Saab",2008,"Automatic",-56000
"766","Saab",2008,"Manual",-29250
"767","Saab",2009,"Automatic",-39000
"768","Saab",2009,"Manual",-19500
"769","Saab",2010,"Automatic",-10750
"770","Saab",2010,"Manual",-1500
"771","Saab",2011,"Automatic",-15750
"772","Saab",2011,"Manual",-1250
"773","Saab",2012,"Automatic",-13000
"774","Saab",2012,"Manual",1000
"775","Saturn",2004,"Automatic",-8000
"776","Saturn",2004,"Manual",-1750
"777","Saturn",2005,"Automatic",-16250
"778","Saturn",2005,"Manual",-1750
"779","Saturn",2006,"Automatic",-14500
"780","Saturn",2006,"Manual",-2500
"781","Saturn",2007,"Automatic",-22250
"782","Saturn",2007,"Manual",-7250
"783","Saturn",2008,"Automatic",-23000
"784","Saturn",2008,"Manual",-2500
"785","Saturn",2009,"Automatic",-16500
"786","Saturn",2009,"Manual",-1250
"787","Saturn",2010,"Automatic",-18000
"788","Saturn",2010,"Manual",-1250
"789","Scion",2004,"Automatic",3000
"790","Scion",2004,"Manual",3250
"791","Scion",2005,"Automatic",2750
"792","Scion",2005,"Manual",2250
"793","Scion",2006,"Automatic",2500
"794","Scion",2006,"Manual",2250
"795","Scion",2007,"Automatic",0
"796","Scion",2007,"Manual",-500
"797","Scion",2008,"Automatic",1250
"798","Scion",2008,"Manual",1000
"799","Scion",2009,"Automatic",1250
"800","Scion",2009,"Manual",1000
"801","Scion",2010,"Automatic",1500
"802","Scion",2010,"Manual",1000
"803","Scion",2011,"Automatic",4750
"804","Scion",2011,"Manual",2000
"805","Scion",2012,"Automatic",5000
"806","Scion",2012,"Manual",2000
"807","Scion",2013,"Automatic",11250
"808","Scion",2013,"Manual",1250
"809","Scion",2014,"Automatic",5250
"810","Scion",2014,"Manual",1250
"811","Scion",2015,"Automatic",3750
"812","Scion",2015,"Manual",-250
"813","smart",2008,"Automatic",4000
"814","smart",2009,"Automatic",4000
"815","smart",2010,"Automatic",4000
"816","smart",2011,"Automatic",14000
"817","smart",2012,"Automatic",4000
"818","smart",2013,"Automatic",15000
"819","smart",2014,"Automatic",15000
"820","smart",2015,"Automatic",15500
"821","Spyker",2005,"Manual",-15750
"822","Spyker",2006,"Manual",-15750
"823","Spyker",2007,"Manual",-21000
"824","Spyker",2009,"Manual",-5250
"825","Spyker",2010,"Automatic",-5250
"826","Spyker",2011,"Automatic",-5250
"827","Subaru",2004,"Automatic",-32750
"828","Subaru",2004,"Manual",-27500
"829","Subaru",2005,"Automatic",-37750
"830","Subaru",2005,"Manual",-34250
"831","Subaru",2006,"Automatic",-42500
"832","Subaru",2006,"Manual",-33500
"833","Subaru",2007,"Automatic",-35250
"834","Subaru",2007,"Manual",-26500
"835","Subaru",2008,"Automatic",-27000
"836","Subaru",2008,"Manual",-24000
"837","Subaru",2009,"Automatic",-27250
"838","Subaru",2009,"Manual",-21500
"839","Subaru",2010,"Automatic",-15750
"840","Subaru",2010,"Manual",-15000
"841","Subaru",2011,"Automatic",-10500
"842","Subaru",2011,"Manual",-18500
"843","Subaru",2012,"Automatic",-5500
"844","Subaru",2012,"Manual",-14500
"845","Subaru",2013,"Automatic",-3000
"846","Subaru",2013,"Manual",-10750
"847","Subaru",2014,"Automatic",2000
"848","Subaru",2014,"Manual",-10250
"849","Subaru",2015,"Automatic",8250
"850","Subaru",2015,"Manual",-1250
"851","Suzuki",2004,"Automatic",-21500
"852","Suzuki",2004,"Manual",-18750
"853","Suzuki",2005,"Automatic",-16500
"854","Suzuki",2005,"Manual",-13750
"855","Suzuki",2006,"Automatic",-15750
"856","Suzuki",2006,"Manual",-14250
"857","Suzuki",2007,"Automatic",-13000
"858","Suzuki",2007,"Manual",-8250
"859","Suzuki",2008,"Automatic",-12000
"860","Suzuki",2008,"Manual",-7750
"861","Suzuki",2009,"Automatic",-21250
"862","Suzuki",2009,"Manual",-3500
"863","Suzuki",2010,"Automatic",-12500
"864","Suzuki",2010,"Manual",250
"865","Suzuki",2011,"Automatic",-7750
"866","Suzuki",2011,"Manual",1500
"867","Suzuki",2012,"Automatic",-9000
"868","Suzuki",2012,"Manual",-250
"869","Suzuki",2013,"Automatic",500
"870","Suzuki",2013,"Manual",1000
"871","Tesla",2012,"Automatic",5000
"872","Tesla",2013,"Automatic",15500
"873","Tesla",2014,"Automatic",15250
"874","Tesla",2015,"Automatic",26500
"875","Toyota",2004,"Automatic",-84000
"876","Toyota",2004,"Manual",-16500
"877","Toyota",2005,"Automatic",-64000
"878","Toyota",2005,"Manual",-14750
"879","Toyota",2006,"Automatic",-67500
"880","Toyota",2006,"Manual",-15750
"881","Toyota",2007,"Automatic",-81000
"882","Toyota",2007,"Manual",-11000
"883","Toyota",2008,"Automatic",-88250
"884","Toyota",2008,"Manual",-11000
"885","Toyota",2009,"Automatic",-100250
"886","Toyota",2009,"Manual",-11250
"887","Toyota",2010,"Automatic",-83750
"888","Toyota",2010,"Manual",-10250
"889","Toyota",2011,"Automatic",-85500
"890","Toyota",2011,"Manual",-9250
"891","Toyota",2012,"Automatic",-54000
"892","Toyota",2012,"Manual",-8250
"893","Toyota",2013,"Automatic",-46000
"894","Toyota",2013,"Manual",-8000
"895","Toyota",2014,"Automatic",-34250
"896","Toyota",2014,"Manual",-9500
"897","Toyota",2015,"Automatic",-29000
"898","Toyota",2015,"Manual",-5500
"899","Volkswagen",2004,"Automatic",-69000
"900","Volkswagen",2004,"Manual",-31000
"901","Volkswagen",2005,"Automatic",-55000
"902","Volkswagen",2005,"Manual",-14250
"903","Volkswagen",2006,"Automatic",-43500
"904","Volkswagen",2006,"Manual",-1750
"905","Volkswagen",2007,"Automatic",-44250
"906","Volkswagen",2007,"Manual",-9000
"907","Volkswagen",2008,"Automatic",-42000
"908","Volkswagen",2008,"Manual",-7250
"909","Volkswagen",2009,"Automatic",-37250
"910","Volkswagen",2009,"Manual",-3250
"911","Volkswagen",2010,"Automatic",-22000
"912","Volkswagen",2010,"Manual",500
"913","Volkswagen",2011,"Automatic",-9750
"914","Volkswagen",2011,"Manual",4000
"915","Volkswagen",2012,"Automatic",-10000
"916","Volkswagen",2012,"Manual",3500
"917","Volkswagen",2013,"Automatic",-7750
"918","Volkswagen",2013,"Manual",6250
"919","Volkswagen",2014,"Automatic",0
"920","Volkswagen",2014,"Manual",12750
"921","Volkswagen",2015,"Automatic",12000
"922","Volkswagen",2015,"Manual",19750
"923","Volvo",2004,"Automatic",-74750
"924","Volvo",2004,"Manual",-20500
"925","Volvo",2005,"Automatic",-79750
"926","Volvo",2005,"Manual",-31750
"927","Volvo",2006,"Automatic",-80750
"928","Volvo",2006,"Manual",-33000
"929","Volvo",2007,"Automatic",-92500
"930","Volvo",2007,"Manual",-31500
"931","Volvo",2008,"Automatic",-74750
"932","Volvo",2008,"Manual",-22000
"933","Volvo",2009,"Automatic",-42250
"934","Volvo",2009,"Manual",-7750
"935","Volvo",2010,"Automatic",-35000
"936","Volvo",2010,"Manual",-2000
"937","Volvo",2011,"Automatic",-24500
"938","Volvo",2011,"Manual",-500
"939","Volvo",2012,"Automatic",-19500
"940","Volvo",2012,"Manual",0
"941","Volvo",2013,"Automatic",-19000
"942","Volvo",2013,"Manual",0
"943","Volvo",2014,"Automatic",-17750
"944","Volvo",2015,"Automatic",-7000
